Filename	JLR-7-047
Instrument name	5500-0678 (172.23.188.15)
Operator	jlr452
rundate	2/23/2025
Sample name	JLR-7-047
proceduresegments	Select Gas: Gas 2 ; Ramp 10.00 °C/min to 600.00 °C
[step]
Ramp 10.00 °C/min to 600.00 °C
Time	Temperature	Weight	Weight
min	°C	mg	%
0.08	29.88	1.639	99.976
0.25	29.97	1.638	99.930
0.42	30.29	1.638	99.910
0.58	31.33	1.638	99.892
0.75	32.86	1.637	99.850
0.92	34.52	1.636	99.804
1.08	36.20	1.635	99.762
1.25	37.90	1.635	99.725
1.42	39.59	1.634	99.689
1.58	41.29	1.634	99.654
1.75	42.99	1.633	99.620
1.92	44.68	1.633	99.586
2.08	46.37	1.632	99.550
2.25	48.06	1.631	99.515
2.42	49.74	1.631	99.481
2.58	51.41	1.630	99.447
2.75	53.09	1.630	99.410
2.92	54.77	1.629	99.373
3.08	56.44	1.628	99.336
3.25	58.11	1.628	99.297
3.42	59.78	1.627	99.259
3.58	61.44	1.627	99.221
3.75	63.09	1.626	99.183
3.92	64.75	1.625	99.145
4.08	66.42	1.625	99.106
4.25	68.08	1.624	99.066
4.42	69.74	1.623	99.027
4.58	71.40	1.623	98.986
4.75	73.06	1.622	98.944
4.92	74.72	1.621	98.902
5.08	76.37	1.621	98.859
5.25	78.03	1.620	98.816
5.42	79.69	1.619	98.773
5.58	81.35	1.618	98.727
5.75	83.00	1.618	98.683
5.92	84.66	1.617	98.639
6.08	86.31	1.616	98.595
6.25	87.97	1.616	98.548
6.42	89.63	1.615	98.503
6.58	91.28	1.614	98.458
6.75	92.93	1.613	98.414
6.92	94.59	1.613	98.369
7.08	96.25	1.612	98.324
7.25	97.90	1.611	98.280
7.42	99.54	1.610	98.236
7.58	101.21	1.610	98.194
7.75	102.87	1.609	98.152
7.92	104.53	1.608	98.109
8.08	106.18	1.608	98.067
8.25	107.83	1.607	98.027
8.42	109.48	1.606	97.988
8.58	111.14	1.606	97.949
8.75	112.79	1.605	97.911
8.92	114.45	1.605	97.874
9.08	116.10	1.604	97.837
9.25	117.75	1.603	97.801
9.42	119.40	1.603	97.766
9.58	121.06	1.602	97.732
9.75	122.72	1.602	97.698
9.92	124.37	1.601	97.665
10.08	126.02	1.601	97.633
10.25	127.67	1.600	97.603
10.42	129.33	1.600	97.573
10.58	130.98	1.599	97.544
10.75	132.63	1.599	97.517
10.92	134.28	1.598	97.491
11.08	135.94	1.598	97.464
11.25	137.60	1.597	97.438
11.42	139.25	1.597	97.411
11.58	140.90	1.597	97.388
11.75	142.56	1.596	97.365
11.92	144.21	1.596	97.343
12.08	145.86	1.595	97.321
12.25	147.51	1.595	97.299
12.42	149.16	1.595	97.279
12.58	150.81	1.594	97.260
12.75	152.46	1.594	97.240
12.92	154.12	1.594	97.220
13.08	155.77	1.593	97.202
13.25	157.43	1.593	97.184
13.42	159.08	1.593	97.169
13.58	160.73	1.593	97.151
13.75	162.38	1.592	97.134
13.92	164.04	1.592	97.118
14.08	165.70	1.592	97.104
14.25	167.35	1.592	97.090
14.42	169.00	1.591	97.076
14.58	170.65	1.591	97.061
14.75	172.30	1.591	97.047
14.92	173.95	1.591	97.035
15.08	175.60	1.591	97.023
15.25	177.26	1.590	97.011
15.42	178.91	1.590	96.999
15.58	180.56	1.590	96.986
15.75	182.21	1.590	96.974
15.92	183.87	1.590	96.962
16.08	185.52	1.589	96.950
16.25	187.17	1.589	96.940
16.42	188.82	1.589	96.929
16.58	190.48	1.589	96.920
16.75	192.13	1.589	96.911
16.92	193.78	1.589	96.901
17.08	195.43	1.588	96.892
17.25	197.08	1.588	96.883
17.42	198.73	1.588	96.873
17.58	200.39	1.588	96.864
17.75	202.03	1.588	96.855
17.92	203.69	1.588	96.848
18.08	205.35	1.588	96.839
18.25	207.00	1.587	96.830
18.42	208.65	1.587	96.824
18.58	210.30	1.587	96.817
18.75	211.95	1.587	96.810
18.92	213.60	1.587	96.802
19.08	215.25	1.587	96.795
19.25	216.91	1.587	96.790
19.42	218.55	1.587	96.782
19.58	220.20	1.586	96.775
19.75	221.86	1.586	96.769
19.92	223.51	1.586	96.762
20.08	225.16	1.586	96.755
20.25	226.81	1.586	96.749
20.42	228.46	1.586	96.743
20.58	230.11	1.586	96.738
20.75	231.77	1.586	96.734
20.92	233.41	1.586	96.729
21.08	235.06	1.586	96.724
21.25	236.72	1.586	96.719
21.42	238.37	1.585	96.713
21.58	240.02	1.585	96.708
21.75	241.66	1.585	96.705
21.92	243.32	1.585	96.701
22.08	244.97	1.585	96.697
22.25	246.62	1.585	96.693
22.42	248.28	1.585	96.690
22.58	249.93	1.585	96.685
22.75	251.58	1.585	96.681
22.92	253.22	1.585	96.676
23.08	254.88	1.585	96.671
23.25	256.53	1.585	96.667
23.42	258.18	1.585	96.663
23.58	259.83	1.585	96.659
23.75	261.48	1.585	96.656
23.92	263.13	1.584	96.653
24.08	264.78	1.584	96.650
24.25	266.42	1.584	96.645
24.42	268.07	1.584	96.642
24.58	269.73	1.584	96.637
24.75	271.38	1.584	96.632
24.92	273.03	1.584	96.626
25.08	274.68	1.584	96.622
25.25	276.32	1.584	96.617
25.42	277.97	1.584	96.612
25.58	279.62	1.584	96.606
25.75	281.27	1.584	96.601
25.92	282.92	1.584	96.595
26.08	284.57	1.583	96.590
26.25	286.22	1.583	96.584
26.42	287.87	1.583	96.578
26.58	289.52	1.583	96.572
26.75	291.17	1.583	96.565
26.92	292.82	1.583	96.558
27.08	294.47	1.583	96.549
27.25	296.12	1.583	96.541
27.42	297.76	1.583	96.532
27.58	299.41	1.582	96.523
27.75	301.06	1.582	96.513
27.92	302.70	1.582	96.504
28.08	304.36	1.582	96.494
28.25	306.01	1.582	96.483
28.42	307.65	1.582	96.473
28.58	309.30	1.581	96.460
28.75	310.95	1.581	96.449
28.92	312.60	1.581	96.435
29.08	314.25	1.581	96.420
29.25	315.89	1.580	96.403
29.42	317.53	1.580	96.387
29.58	319.19	1.580	96.370
29.75	320.84	1.580	96.352
29.92	322.49	1.579	96.333
30.08	324.13	1.579	96.312
30.25	325.78	1.579	96.291
30.42	327.43	1.578	96.268
30.58	329.07	1.578	96.243
30.75	330.72	1.577	96.216
30.92	332.37	1.577	96.187
31.08	334.02	1.576	96.157
31.25	335.66	1.576	96.123
31.42	337.31	1.575	96.087
31.58	338.95	1.575	96.051
31.75	340.60	1.574	96.012
31.92	342.25	1.573	95.970
32.08	343.90	1.573	95.926
32.25	345.55	1.572	95.877
32.42	347.19	1.571	95.826
32.58	348.84	1.570	95.771
32.75	350.48	1.569	95.714
32.92	352.13	1.568	95.652
33.08	353.77	1.567	95.588
33.25	355.42	1.566	95.517
33.42	357.06	1.565	95.443
33.58	358.71	1.563	95.366
33.75	360.36	1.562	95.283
33.92	362.00	1.561	95.195
34.08	363.64	1.559	95.101
34.25	365.29	1.557	95.001
34.42	366.94	1.556	94.895
34.58	368.58	1.554	94.783
34.75	370.22	1.552	94.665
34.92	371.87	1.550	94.538
35.08	373.52	1.548	94.407
35.25	375.15	1.545	94.268
35.42	376.80	1.543	94.121
35.58	378.44	1.540	93.965
35.75	380.09	1.538	93.800
35.92	381.73	1.535	93.627
36.08	383.37	1.532	93.445
36.25	385.02	1.529	93.255
36.42	386.66	1.525	93.054
36.58	388.31	1.522	92.842
36.75	389.95	1.518	92.622
36.92	391.60	1.515	92.393
37.08	393.24	1.511	92.151
37.25	394.89	1.507	91.899
37.42	396.52	1.502	91.636
37.58	398.16	1.498	91.363
37.75	399.81	1.493	91.080
37.92	401.45	1.488	90.783
38.08	403.09	1.483	90.475
38.25	404.74	1.478	90.154
38.42	406.38	1.473	89.822
38.58	408.02	1.467	89.477
38.75	409.67	1.461	89.122
38.92	411.31	1.455	88.753
39.08	412.95	1.449	88.372
39.25	414.59	1.442	87.978
39.42	416.23	1.436	87.571
39.58	417.87	1.429	87.152
39.75	419.52	1.422	86.720
39.92	421.16	1.414	86.275
40.08	422.79	1.407	85.818
40.25	424.43	1.399	85.348
40.42	426.08	1.391	84.866
40.58	427.72	1.383	84.372
40.75	429.36	1.375	83.865
40.92	431.00	1.366	83.346
41.08	432.64	1.358	82.821
41.25	434.28	1.349	82.281
41.42	435.92	1.340	81.733
41.58	437.56	1.331	81.177
41.75	439.20	1.322	80.614
41.92	440.84	1.312	80.043
42.08	442.48	1.303	79.465
42.25	444.11	1.293	78.885
42.42	445.75	1.284	78.301
42.58	447.39	1.274	77.711
42.75	449.03	1.264	77.118
42.92	450.67	1.254	76.522
43.08	452.31	1.245	75.923
43.25	453.94	1.235	75.322
43.42	455.58	1.225	74.720
43.58	457.22	1.215	74.114
43.75	458.86	1.205	73.505
43.92	460.49	1.195	72.895
44.08	462.13	1.185	72.284
44.25	463.77	1.175	71.672
44.42	465.41	1.165	71.057
44.58	467.04	1.155	70.442
44.75	468.68	1.145	69.825
44.92	470.32	1.135	69.204
45.08	471.95	1.124	68.581
45.25	473.58	1.114	67.958
45.42	475.22	1.104	67.331
45.58	476.86	1.094	66.703
45.75	478.49	1.083	66.075
45.92	480.13	1.073	65.449
46.08	481.77	1.063	64.823
46.25	483.40	1.052	64.197
46.42	485.03	1.042	63.573
46.58	486.67	1.032	62.951
46.75	488.31	1.022	62.333
46.92	489.94	1.012	61.718
