Filename	JLR-7-049
Instrument name	5500-0678 (172.23.188.15)
Operator	jlr452
rundate	2/23/2025
Sample name	JLR-7-049
proceduresegments	Select Gas: Gas 2 ; Ramp 10.00 °C/min to 600.00 °C
[step]
Ramp 10.00 °C/min to 600.00 °C
Time	Temperature	Weight	Weight
37.08	393.64	2.666	91.592
37.25	395.27	2.657	91.304
37.42	396.92	2.649	91.004
37.58	398.57	2.640	90.695
37.75	400.21	2.630	90.375
37.92	401.85	2.621	90.042
38.08	403.50	2.611	89.698
38.25	405.14	2.600	89.342
38.42	406.78	2.590	88.975
38.58	408.43	2.579	88.596
38.75	410.07	2.567	88.206
38.92	411.71	2.556	87.804
39.08	413.35	2.544	87.390
39.25	414.99	2.531	86.965
39.42	416.63	2.518	86.528
39.58	418.27	2.505	86.080
39.75	419.91	2.492	85.621
39.92	421.55	2.478	85.150
40.08	423.20	2.464	84.670
40.25	424.84	2.450	84.179
40.42	426.48	2.436	83.680
40.58	428.12	2.421	83.171
40.75	429.76	2.406	82.655
40.92	431.40	2.390	82.130
41.08	433.04	2.375	81.599
41.25	434.68	2.359	81.062
41.42	436.32	2.344	80.520
41.58	437.95	2.328	79.972
41.75	439.59	2.312	79.419
41.92	441.23	2.295	78.863
42.08	442.87	2.279	78.303
42.25	444.51	2.263	77.739
42.42	446.15	2.246	77.171
42.58	447.79	2.229	76.599
42.75	449.43	2.213	76.024
42.92	451.07	2.196	75.447
43.08	452.70	2.179	74.866
43.25	454.34	2.162	74.282
43.42	455.98	2.145	73.693
43.58	457.62	2.128	73.099
43.75	459.26	2.110	72.501
43.92	460.89	2.093	71.898
44.08	462.53	2.075	71.291
44.25	464.17	2.057	70.679
44.42	465.81	2.039	70.063
44.58	467.44	2.021	69.444
44.75	469.08	2.003	68.819
44.92	470.71	1.985	68.192
45.08	472.35	1.966	67.561
45.25	473.98	1.948	66.929
45.42	475.62	1.930	66.297
45.58	477.26	1.911	65.666
45.75	478.89	1.893	65.037
45.92	480.53	1.875	64.411
46.08	482.16	1.857	63.790
46.25	483.80	1.839	63.175
46.42	485.43	1.821	62.569
46.58	487.06	1.804	61.972
46.75	488.70	1.787	61.388
46.92	490.33	1.770	60.816
47.08	491.97	1.754	60.259
47.25	493.60	1.738	59.718
47.42	495.24	1.723	59.193
47.58	496.87	1.708	58.688
47.75	498.49	1.694	58.202
47.92	500.12	1.680	57.737
48.08	501.75	1.668	57.292
48.25	503.39	1.655	56.870
48.42	505.03	1.644	56.470
48.58	506.66	1.633	56.094
48.75	508.28	1.622	55.741
48.92	509.91	1.613	55.410
49.08	511.55	1.604	55.103
49.25	513.19	1.595	54.818
49.42	514.81	1.588	54.555
49.58	516.44	1.581	54.314
49.75	518.07	1.574	54.092
49.92	519.71	1.568	53.890
50.08	521.33	1.563	53.706
50.25	522.96	1.558	53.540
50.42	524.60	1.554	53.390
50.58	526.23	1.550	53.254
50.75	527.87	1.546	53.133
50.92	529.50	1.543	53.023
51.08	531.12	1.540	52.925
51.25	532.76	1.538	52.836
51.42	534.39	1.535	52.756
51.58	536.02	1.533	52.684
51.75	537.65	1.531	52.619
51.92	539.28	1.530	52.559
52.08	540.91	1.528	52.503
52.25	542.54	1.527	52.454
52.42	544.17	1.525	52.408
52.58	545.80	1.524	52.366
52.75	547.43	1.523	52.326
52.92	549.06	1.522	52.288
53.08	550.69	1.521	52.253
53.25	552.31	1.520	52.220
53.42	553.94	1.519	52.188
53.58	555.57	1.518	52.158
53.75	557.20	1.517	52.128
53.92	558.83	1.516	52.100
54.08	560.45	1.516	52.073
54.25	562.08	1.515	52.045
54.42	563.70	1.514	52.019
54.58	565.33	1.513	51.994
54.75	566.96	1.513	51.970
54.92	568.58	1.512	51.947
55.08	570.21	1.511	51.925
55.25	571.83	1.511	51.905
55.42	573.46	1.510	51.884
55.58	575.09	1.510	51.866
55.75	576.71	1.509	51.849
55.92	578.34	1.509	51.834
56.08	579.96	1.508	51.818
56.25	581.58	1.508	51.806
56.42	583.20	1.508	51.795
56.58	584.83	1.507	51.783
56.75	586.45	1.507	51.772
56.92	588.08	1.507	51.762
57.08	589.70	1.506	51.753
57.25	591.32	1.506	51.744
57.42	592.92	1.506	51.736
57.58	594.53	1.506	51.728
57.75	596.13	1.505	51.720

