Filename	JLR-7-049
Instrument name	5500-0678 (172.23.188.15)
Operator	jlr452
rundate	2/23/2025
Sample name	JLR-7-049
proceduresegments	Select Gas: Gas 2 ; Ramp 10.00 °C/min to 600.00 °C
[step]
Ramp 10.00 °C/min to 600.00 °C
Time	Temperature	Weight	Weight
min	°C	mg	%
0.08	30.43	2.910	99.987
0.25	30.46	2.910	99.965
0.42	30.73	2.909	99.959
0.58	31.73	2.909	99.953
0.75	33.25	2.908	99.929
0.92	34.91	2.908	99.899
1.08	36.59	2.907	99.868
1.25	38.27	2.906	99.838
1.42	39.98	2.905	99.806
1.58	41.68	2.904	99.773
1.75	43.39	2.903	99.740
1.92	45.08	2.902	99.705
2.08	46.77	2.901	99.671
2.25	48.44	2.900	99.637
2.42	50.13	2.899	99.602
2.58	51.80	2.898	99.567
2.75	53.48	2.897	99.533
2.92	55.15	2.896	99.496
3.08	56.84	2.895	99.460
3.25	58.51	2.894	99.424
3.42	60.16	2.893	99.389
3.58	61.82	2.892	99.356
3.75	63.49	2.891	99.321
3.92	65.16	2.890	99.286
4.08	66.82	2.889	99.252
4.25	68.48	2.888	99.218
4.42	70.14	2.887	99.185
4.58	71.80	2.886	99.152
4.75	73.46	2.885	99.118
4.92	75.11	2.884	99.087
5.08	76.77	2.883	99.055
5.25	78.43	2.882	99.024
5.42	80.09	2.881	98.993
5.58	81.74	2.880	98.962
5.75	83.39	2.879	98.932
5.92	85.06	2.879	98.901
6.08	86.71	2.878	98.872
6.25	88.37	2.877	98.843
6.42	90.02	2.876	98.814
6.58	91.67	2.875	98.786
6.75	93.32	2.874	98.759
6.92	94.98	2.874	98.732
7.08	96.64	2.873	98.704
7.25	98.30	2.872	98.677
7.42	99.95	2.871	98.650
7.58	101.61	2.871	98.625
7.75	103.26	2.870	98.600
7.92	104.91	2.869	98.575
8.08	106.55	2.868	98.552
8.25	108.22	2.868	98.527
8.42	109.88	2.867	98.503
8.58	111.53	2.866	98.480
8.75	113.18	2.866	98.458
8.92	114.84	2.865	98.436
9.08	116.50	2.864	98.414
9.25	118.15	2.864	98.394
9.42	119.80	2.863	98.372
9.58	121.45	2.863	98.352
9.75	123.10	2.862	98.332
9.92	124.76	2.861	98.313
10.08	126.41	2.861	98.294
10.25	128.06	2.860	98.275
10.42	129.72	2.860	98.257
10.58	131.37	2.859	98.239
10.75	133.03	2.859	98.221
10.92	134.68	2.858	98.205
11.08	136.33	2.858	98.189
11.25	137.97	2.857	98.173
11.42	139.63	2.857	98.156
11.58	141.29	2.856	98.140
11.75	142.95	2.856	98.124
11.92	144.60	2.856	98.109
12.08	146.25	2.855	98.095
12.25	147.91	2.855	98.081
12.42	149.56	2.854	98.067
12.58	151.21	2.854	98.053
12.75	152.86	2.853	98.039
12.92	154.52	2.853	98.026
13.08	156.17	2.853	98.012
13.25	157.82	2.852	97.999
13.42	159.47	2.852	97.987
13.58	161.12	2.852	97.975
13.75	162.77	2.851	97.963
13.92	164.43	2.851	97.951
14.08	166.09	2.851	97.938
14.25	167.73	2.850	97.927
14.42	169.39	2.850	97.916
14.58	171.04	2.850	97.904
14.75	172.70	2.849	97.894
14.92	174.35	2.849	97.884
15.08	176.00	2.849	97.873
15.25	177.65	2.848	97.863
15.42	179.30	2.848	97.852
15.58	180.96	2.848	97.841
15.75	182.61	2.847	97.831
15.92	184.26	2.847	97.821
16.08	185.91	2.847	97.811
16.25	187.56	2.847	97.802
16.42	189.21	2.846	97.793
16.58	190.86	2.846	97.783
16.75	192.51	2.846	97.774
16.92	194.17	2.845	97.764
17.08	195.82	2.845	97.755
17.25	197.47	2.845	97.746
17.42	199.11	2.845	97.737
17.58	200.77	2.844	97.728
17.75	202.43	2.844	97.719
17.92	204.08	2.844	97.711
18.08	205.72	2.844	97.703
18.25	207.38	2.843	97.694
18.42	209.03	2.843	97.685
18.58	210.69	2.843	97.678
18.75	212.33	2.843	97.671
18.92	213.99	2.843	97.663
19.08	215.64	2.842	97.656
19.25	217.29	2.842	97.648
19.42	218.94	2.842	97.641
19.58	220.59	2.842	97.635
19.75	222.24	2.842	97.629
19.92	223.90	2.841	97.622
20.08	225.55	2.841	97.615
20.25	227.20	2.841	97.609
20.42	228.85	2.841	97.603
20.58	230.49	2.841	97.598
20.75	232.15	2.840	97.592
20.92	233.79	2.840	97.586
21.08	235.45	2.840	97.580
21.25	237.10	2.840	97.574
21.42	238.75	2.840	97.568
21.58	240.40	2.840	97.562
21.75	242.05	2.839	97.557
21.92	243.70	2.839	97.551
22.08	245.35	2.839	97.545
22.25	247.01	2.839	97.539
22.42	248.66	2.839	97.533
22.58	250.31	2.839	97.528
22.75	251.96	2.838	97.523
22.92	253.62	2.838	97.517
23.08	255.26	2.838	97.512
23.25	256.91	2.838	97.505
23.42	258.56	2.838	97.500
23.58	260.21	2.838	97.494
23.75	261.86	2.837	97.488
23.92	263.52	2.837	97.481
24.08	265.17	2.837	97.475
24.25	266.82	2.837	97.468
24.42	268.47	2.837	97.462
24.58	270.12	2.836	97.455
24.75	271.77	2.836	97.448
24.92	273.42	2.836	97.441
25.08	275.07	2.836	97.433
25.25	276.72	2.836	97.425
25.42	278.37	2.835	97.417
25.58	280.02	2.835	97.408
25.75	281.67	2.835	97.400
25.92	283.32	2.835	97.391
26.08	284.97	2.834	97.381
26.25	286.62	2.834	97.371
26.42	288.27	2.834	97.360
26.58	289.92	2.833	97.350
26.75	291.57	2.833	97.339
26.92	293.22	2.833	97.327
27.08	294.87	2.832	97.315
27.25	296.52	2.832	97.301
27.42	298.16	2.832	97.287
27.58	299.81	2.831	97.272
27.75	301.46	2.831	97.257
27.92	303.11	2.830	97.240
28.08	304.75	2.830	97.223
28.25	306.40	2.829	97.206
28.42	308.05	2.829	97.187
28.58	309.70	2.828	97.167
28.75	311.35	2.827	97.144
28.92	313.00	2.827	97.121
29.08	314.64	2.826	97.097
29.25	316.29	2.825	97.072
29.42	317.94	2.825	97.045
29.58	319.59	2.824	97.017
29.75	321.23	2.823	96.987
29.92	322.88	2.822	96.954
30.08	324.53	2.821	96.921
30.25	326.18	2.820	96.885
30.42	327.83	2.819	96.847
30.58	329.47	2.818	96.807
30.75	331.11	2.816	96.765
30.92	332.77	2.815	96.721
31.08	334.41	2.814	96.674
31.25	336.06	2.812	96.624
31.42	337.71	2.811	96.571
31.58	339.35	2.809	96.515
31.75	341.00	2.807	96.455
31.92	342.65	2.806	96.393
32.08	344.29	2.804	96.326
32.25	345.94	2.802	96.257
32.42	347.59	2.799	96.183
32.58	349.23	2.797	96.105
32.75	350.88	2.795	96.022
32.92	352.52	2.792	95.936
33.08	354.17	2.790	95.845
33.25	355.82	2.787	95.747
33.42	357.46	2.784	95.646
33.58	359.11	2.781	95.538
33.75	360.75	2.777	95.425
33.92	362.40	2.774	95.306
34.08	364.03	2.770	95.181
34.25	365.69	2.766	95.049
34.42	367.34	2.762	94.910
34.58	368.98	2.758	94.765
34.75	370.63	2.754	94.613
34.92	372.27	2.749	94.453
35.08	373.91	2.744	94.286
35.25	375.55	2.739	94.111
35.42	377.20	2.734	93.928
35.58	378.85	2.728	93.735
35.75	380.49	2.722	93.535
35.92	382.13	2.716	93.325
36.08	383.78	2.710	93.107
36.25	385.42	2.703	92.880
36.42	387.06	2.696	92.641
36.58	388.71	2.689	92.395
36.75	390.35	2.682	92.137
36.92	392.00	2.674	91.870
