Filename	JLR-7-048
Instrument name	5500-0678 (172.23.188.15)
Operator	jlr452
rundate	2/23/2025
Sample name	JLR-7-048
proceduresegments	Select Gas: Gas 2 ; Ramp 10.00 °C/min to 600.00 °C
[step]
Ramp 10.00 °C/min to 600.00 °C
Time	Temperature	Weight	Weight
min	°C	mg	%
0.08	30.33	3.538	99.988
0.25	30.34	3.537	99.967
0.42	30.58	3.537	99.958
0.58	31.57	3.536	99.945
0.75	33.08	3.535	99.916
0.92	34.72	3.534	99.882
1.08	36.40	3.533	99.847
1.25	38.09	3.531	99.811
1.42	39.79	3.530	99.775
1.58	41.50	3.529	99.737
1.75	43.20	3.527	99.698
1.92	44.90	3.526	99.659
2.08	46.59	3.525	99.619
2.25	48.27	3.523	99.579
2.42	49.96	3.522	99.539
2.58	51.64	3.520	99.498
2.75	53.31	3.519	99.459
2.92	54.98	3.517	99.420
3.08	56.65	3.516	99.381
3.25	58.32	3.515	99.343
3.42	59.99	3.513	99.305
3.58	61.65	3.512	99.267
3.75	63.32	3.511	99.230
3.92	64.98	3.509	99.194
4.08	66.63	3.508	99.159
4.25	68.28	3.507	99.124
4.42	69.96	3.506	99.089
4.58	71.62	3.505	99.054
4.75	73.27	3.503	99.020
4.92	74.93	3.502	98.987
5.08	76.59	3.501	98.955
5.25	78.25	3.500	98.923
5.42	79.90	3.499	98.892
5.58	81.55	3.498	98.861
5.75	83.21	3.497	98.831
5.92	84.88	3.496	98.801
6.08	86.53	3.495	98.772
6.25	88.19	3.494	98.743
6.42	89.84	3.493	98.715
6.58	91.49	3.492	98.687
6.75	93.14	3.491	98.661
6.92	94.81	3.490	98.635
7.08	96.45	3.489	98.609
7.25	98.11	3.488	98.584
7.42	99.77	3.487	98.558
7.58	101.43	3.486	98.532
7.75	103.08	3.485	98.508
7.92	104.73	3.484	98.482
8.08	106.39	3.483	98.457
8.25	108.05	3.483	98.432
8.42	109.70	3.482	98.408
8.58	111.35	3.481	98.383
8.75	113.00	3.480	98.360
8.92	114.65	3.479	98.335
9.08	116.31	3.478	98.311
9.25	117.97	3.477	98.287
9.42	119.62	3.477	98.263
9.58	121.28	3.476	98.238
9.75	122.93	3.475	98.214
9.92	124.57	3.474	98.192
10.08	126.22	3.473	98.168
10.25	127.89	3.472	98.145
10.42	129.54	3.472	98.121
10.58	131.20	3.471	98.099
10.75	132.86	3.470	98.076
10.92	134.50	3.469	98.053
11.08	136.15	3.468	98.032
11.25	137.81	3.468	98.010
11.42	139.46	3.467	97.988
11.58	141.11	3.466	97.967
11.75	142.76	3.465	97.947
11.92	144.42	3.465	97.927
12.08	146.07	3.464	97.906
12.25	147.73	3.463	97.887
12.42	149.38	3.463	97.867
12.58	151.03	3.462	97.848
12.75	152.68	3.461	97.830
12.92	154.34	3.461	97.811
13.08	156.00	3.460	97.793
13.25	157.64	3.459	97.775
13.42	159.29	3.459	97.758
13.58	160.95	3.458	97.741
13.75	162.60	3.458	97.724
13.92	164.25	3.457	97.709
14.08	165.90	3.456	97.693
14.25	167.56	3.456	97.677
14.42	169.21	3.455	97.662
14.58	170.87	3.455	97.647
14.75	172.51	3.454	97.633
14.92	174.16	3.454	97.620
15.08	175.82	3.453	97.606
15.25	177.47	3.453	97.593
15.42	179.13	3.452	97.580
15.58	180.78	3.452	97.568
15.75	182.43	3.452	97.556
15.92	184.08	3.451	97.544
16.08	185.73	3.451	97.533
16.25	187.39	3.450	97.522
16.42	189.04	3.450	97.511
16.58	190.69	3.450	97.501
16.75	192.34	3.449	97.491
16.92	194.00	3.449	97.481
17.08	195.65	3.449	97.471
17.25	197.30	3.448	97.461
17.42	198.95	3.448	97.451
17.58	200.60	3.448	97.442
17.75	202.25	3.447	97.432
17.92	203.90	3.447	97.424
18.08	205.55	3.447	97.415
18.25	207.21	3.446	97.407
18.42	208.86	3.446	97.399
18.58	210.51	3.446	97.390
18.75	212.16	3.445	97.382
18.92	213.82	3.445	97.373
19.08	215.46	3.445	97.365
19.25	217.11	3.445	97.357
19.42	218.77	3.444	97.349
19.58	220.42	3.444	97.341
19.75	222.07	3.444	97.332
19.92	223.73	3.443	97.324
20.08	225.38	3.443	97.315
20.25	227.02	3.443	97.308
20.42	228.67	3.442	97.300
20.58	230.33	3.442	97.291
20.75	231.98	3.442	97.283
20.92	233.63	3.442	97.275
21.08	235.29	3.441	97.267
21.25	236.94	3.441	97.259
21.42	238.59	3.441	97.251
21.58	240.24	3.440	97.243
21.75	241.89	3.440	97.234
21.92	243.54	3.440	97.226
22.08	245.19	3.440	97.218
22.25	246.84	3.439	97.209
22.42	248.49	3.439	97.201
22.58	250.14	3.439	97.193
22.75	251.79	3.438	97.184
22.92	253.44	3.438	97.175
23.08	255.10	3.438	97.166
23.25	256.75	3.437	97.157
23.42	258.40	3.437	97.148
23.58	260.05	3.437	97.138
23.75	261.70	3.436	97.129
23.92	263.34	3.436	97.120
24.08	264.99	3.436	97.110
24.25	266.65	3.435	97.100
24.42	268.30	3.435	97.090
24.58	269.95	3.435	97.080
24.75	271.60	3.434	97.070
24.92	273.24	3.434	97.060
25.08	274.89	3.434	97.049
25.25	276.54	3.433	97.038
25.42	278.19	3.433	97.027
25.58	279.84	3.432	97.015
25.75	281.49	3.432	97.003
25.92	283.14	3.432	96.991
26.08	284.79	3.431	96.978
26.25	286.43	3.431	96.964
26.42	288.09	3.430	96.951
26.58	289.73	3.430	96.937
26.75	291.38	3.429	96.923
26.92	293.04	3.429	96.908
27.08	294.68	3.428	96.893
27.25	296.33	3.428	96.877
27.42	297.98	3.427	96.860
27.58	299.63	3.426	96.843
27.75	301.28	3.426	96.824
27.92	302.93	3.425	96.806
28.08	304.57	3.424	96.785
28.25	306.23	3.424	96.764
28.42	307.88	3.423	96.742
28.58	309.52	3.422	96.720
28.75	311.17	3.421	96.696
28.92	312.82	3.420	96.671
29.08	314.47	3.419	96.645
29.25	316.12	3.418	96.618
29.42	317.76	3.417	96.588
29.58	319.41	3.416	96.558
29.75	321.06	3.415	96.526
29.92	322.70	3.414	96.492
30.08	324.35	3.413	96.456
30.25	326.00	3.411	96.420
30.42	327.65	3.410	96.380
30.58	329.30	3.408	96.339
30.75	330.94	3.407	96.295
30.92	332.59	3.405	96.248
31.08	334.24	3.404	96.199
31.25	335.89	3.402	96.147
31.42	337.53	3.400	96.092
31.58	339.18	3.398	96.035
31.75	340.83	3.396	95.973
31.92	342.47	3.393	95.908
32.08	344.12	3.391	95.840
32.25	345.77	3.388	95.767
32.42	347.41	3.386	95.690
32.58	349.06	3.383	95.609
32.75	350.70	3.380	95.522
32.92	352.35	3.376	95.431
33.08	354.00	3.373	95.334
33.25	355.64	3.369	95.233
33.42	357.28	3.366	95.124
33.58	358.93	3.361	95.010
33.75	360.57	3.357	94.888
33.92	362.22	3.353	94.759
34.08	363.87	3.348	94.623
34.25	365.51	3.343	94.479
34.42	367.16	3.337	94.327
34.58	368.79	3.332	94.167
34.75	370.44	3.326	93.997
34.92	372.09	3.319	93.816
35.08	373.73	3.312	93.625
35.25	375.38	3.305	93.423
35.42	377.02	3.298	93.211
35.58	378.66	3.290	92.986
35.75	380.31	3.281	92.749
35.92	381.95	3.273	92.499
36.08	383.60	3.263	92.235
36.25	385.24	3.253	91.956
36.42	386.89	3.243	91.662
36.58	388.53	3.232	91.352
36.75	390.18	3.220	91.025
36.92	391.82	3.208	90.681
37.08	393.46	3.196	90.319
37.25	395.11	3.182	89.938
37.42	396.75	3.168	89.538
37.58	398.40	3.153	89.115
37.75	400.04	3.137	88.671
37.92	401.68	3.121	88.203
38.08	403.32	3.103	87.710
38.25	404.97	3.085	87.192
38.42	406.61	3.065	86.633
38.58	408.26	3.043	86.012
38.75	409.90	3.020	85.351
38.92	411.54	2.995	84.649
39.08	413.18	2.969	83.911
39.25	414.82	2.942	83.142
39.42	416.46	2.913	82.337
39.58	418.10	2.883	81.500
39.75	419.74	2.852	80.624
39.92	421.39	2.820	79.715
40.08	423.03	2.787	78.774
40.25	424.68	2.753	77.803
40.42	426.32	2.717	76.802
40.58	427.96	2.681	75.776
40.75	429.60	2.644	74.728
40.92	431.24	2.606	73.667
41.08	432.88	2.568	72.592
41.25	434.52	2.530	71.514
41.42	436.15	2.492	70.435
41.58	437.79	2.454	69.358
41.75	439.43	2.416	68.290
41.92	441.08	2.379	67.237
42.08	442.71	2.342	66.203
42.25	444.35	2.306	65.189
42.42	445.99	2.271	64.199
42.58	447.63	2.237	63.234
42.75	449.26	2.204	62.303
42.92	450.89	2.172	61.401
43.08	452.53	2.141	60.525
43.25	454.17	2.112	59.690
43.42	455.81	2.083	58.888
43.58	457.45	2.056	58.123
43.75	459.08	2.031	57.397
43.92	460.72	2.006	56.711
44.08	462.36	1.983	56.058
44.25	464.00	1.962	55.448
44.42	465.63	1.942	54.879
44.58	467.27	1.923	54.340
44.75	468.90	1.904	53.809
44.92	470.54	1.885	53.289
45.08	472.18	1.868	52.790
45.25	473.81	1.851	52.319
45.42	475.44	1.835	51.878
45.58	477.08	1.821	51.466
45.75	478.71	1.807	51.083
45.92	480.35	1.795	50.728
46.08	481.98	1.783	50.399
46.25	483.62	1.772	50.095
46.42	485.25	1.762	49.814
46.58	486.89	1.753	49.556
46.75	488.52	1.745	49.318
46.92	490.15	1.737	49.099
47.08	491.79	1.730	48.898
47.25	493.42	1.724	48.715
47.42	495.06	1.718	48.547
47.58	496.69	1.712	48.394
47.75	498.33	1.707	48.254
47.92	499.96	1.703	48.126
48.08	501.59	1.699	48.009
48.25	503.22	1.695	47.902
48.42	504.86	1.691	47.806
48.58	506.49	1.688	47.718
48.75	508.12	1.685	47.639
48.92	509.76	1.683	47.567
49.08	511.39	1.681	47.500
49.25	513.02	1.678	47.440
49.42	514.65	1.677	47.386
49.58	516.29	1.675	47.337
49.75	517.91	1.673	47.292
49.92	519.54	1.672	47.251
50.08	521.18	1.670	47.214
50.25	522.81	1.669	47.180
50.42	524.44	1.668	47.149
50.58	526.07	1.667	47.120
50.75	527.70	1.666	47.094
50.92	529.33	1.665	47.070
51.08	530.96	1.665	47.047
51.25	532.59	1.664	47.026
51.42	534.22	1.663	47.006
51.58	535.85	1.662	46.987
51.75	537.48	1.662	46.969
51.92	539.11	1.661	46.952
52.08	540.74	1.661	46.935
52.25	542.37	1.660	46.919
52.42	544.00	1.659	46.904
52.58	545.63	1.659	46.890
52.75	547.25	1.658	46.876
52.92	548.89	1.658	46.862
53.08	550.52	1.657	46.847
53.25	552.14	1.657	46.834
53.42	553.77	1.657	46.821
53.58	555.40	1.656	46.807
53.75	557.02	1.656	46.793
53.92	558.65	1.655	46.780
54.08	560.28	1.655	46.766
54.25	561.90	1.654	46.752
54.42	563.53	1.654	46.739
54.58	565.16	1.653	46.726
54.75	566.78	1.653	46.712
54.92	568.40	1.652	46.700
55.08	570.03	1.652	46.687
55.25	571.66	1.651	46.673
55.42	573.29	1.651	46.660
55.58	574.91	1.650	46.647
55.75	576.54	1.650	46.633
55.92	578.16	1.649	46.619
56.08	579.78	1.649	46.606
56.25	581.41	1.648	46.592
56.42	583.03	1.648	46.579
56.58	584.66	1.648	46.566
56.75	586.28	1.647	46.553
56.92	587.91	1.647	46.540
57.08	589.53	1.646	46.528
57.25	591.14	1.646	46.514
57.42	592.75	1.645	46.502
57.58	594.35	1.645	46.491
57.75	595.96	1.644	46.479

